Captain America: The First Avenger 
Captain Marvel
Iron Man 
Iron Man 2
The Incredible Hulk 
Thor 
The Avengers 
Iron Man 3 
Thor: Dark World 
Captain America: Winter Soldier 
Guardians of the Galaxy 
Guardians of the Galaxy Vol. 2 
Avengers: Age of Ultron 
Ant-Man 
Captain America: Civil War 
Spider-Man: Homecoming 
Black Widow
Black Panther
Doctor Strange
Thor Ragnarok
Avengers: Infinity War
Ant-Man and the Wasp
Avengers Endgame
Loki*
WandaVision*
The Falcon and Winter Soldier*
Spider-Man Far from Home
